Año;Mês;;TOTAL;Domestico;Comécio y Industria;Servicios Ayuntamiento
2011;     Abril  ;;7.579.292  ;5.224.218  ;2.009.294  ;345.780  
2011;     Mayo  ;;8.002.050  ;5.598.682  ;2.068.785  ;334.583  
2011;     Junio  ;;7.988.671  ;4.953.835  ;2.588.322  ;446.514  
2011;     Julio  ;;9.164.335  ;6.313.543  ;2.389.131  ;461.661  
2011;     Agosto  ;;8.148.247  ;5.359.333  ;2.350.747  ;438.167  
2011;     Septiembre  ;;8.698.131  ;5.346.328  ;2.828.119  ;523.684  
2011;     Octubre  ;;8.074.835  ;4.951.171  ;2.547.206  ;576.458  
2011;     Noviembre  ;;7.348.242  ;4.826.057  ;2.040.747  ;481.438  
2011;     Diciembre  ;;6.593.842  ;3.935.611  ;2.127.936  ;530.295  
2012;     Enero  ;;8.462.145  ;6.011.210  ;2.068.458  ;382.477  
2012;     Febrero  ;;9.154.905  ;6.606.656  ;2.201.363  ;346.886  
2012;     Marzo  ;;7.494.328  ;4.977.905  ;2.175.774  ;340.649  
2012;     Abril  ;;8.404.067  ;5.958.625  ;2.028.328  ;417.114  
2012;     Mayo  ;;7.677.618  ;5.351.447  ;1.990.120  ;336.051  
2012;     Junio  ;;8.309.843  ;5.355.341  ;2.564.220  ;390.282  
2012;     Julio  ;;8.922.955  ;6.024.164  ;2.366.668  ;532.123  
2012;     Agosto  ;;7.678.197  ;4.970.881  ;2.225.814  ;481.502  
2012;     Septiembre  ;;7.178.645  ;4.164.110  ;2.463.010  ;551.525  
2012;     Octubre  ;;9.084.321  ;5.529.165  ;2.868.137  ;687.019  
2012;     Noviembre  ;;7.940.202  ;5.167.771  ;2.264.360  ;508.071  
2012;     Diciembre  ;;6.234.165  ;3.906.903  ;1.956.213  ;371.049  
2013;     Enero  ;;11.371.824  ;8.646.845  ;2.309.327  ;415.652  
2013;     Febrero  ;;8.282.750  ;5.705.574  ;2.212.190  ;364.986  
2013;     Marzo  ;;7.449.971  ;5.344.557  ;1.751.058  ;354.356  
2013;     Abril  ;;7.968.280  ;5.490.659  ;2.145.337  ;332.284  
2013;     Mayo  ;;7.681.405  ;5.219.379  ;2.112.284  ;349.742  
2013;     Junio  ;;7.632.933  ;5.058.058  ;2.182.502  ;392.373  
2013;     Julio  ;;8.221.020  ;5.279.075  ;2.482.439  ;459.506  
2013;     Agosto  ;;8.065.524  ;5.162.085  ;2.410.577  ;492.862  
2013;     Septiembre  ;;6.704.583  ;4.414.481  ;1.833.347  ;456.755  
2013;     Octubre  ;;8.765.432  ;5.254.603  ;2.821.072  ;689.757  
2013;     Noviembre  ;;7.827.236  ;5.296.184  ;2.106.629  ;424.423  
2013;     Diciembre  ;;4.704.836  ;2.913.036  ;1.457.014  ;334.786  
2014;     Enero  ;;10.238.161  ;7.299.741  ;2.433.118  ;505.302  
2014;     Febrero  ;;7.069.056  ;5.141.441  ;1.689.958  ;237.657  
2014;     Marzo  ;;7.623.769  ;5.240.654  ;1.970.233  ;412.882  
2014;     Abril  ;;6.036.362  ;4.105.773  ;1.618.265  ;312.324  
2014;     Mayo  ;;9.058.362  ;6.077.864  ;2.509.606  ;470.892  
2014;     Junio  ;;7.523.887  ;4.938.321  ;2.153.587  ;431.979  
2014;     Julio  ;;8.720.545  ;5.771.110  ;2.436.433  ;513.002  
2014;     Agosto  ;;7.455.298  ;4.701.240  ;2.311.203  ;442.855  
2014;     Septiembre  ;;7.085.887  ;4.494.279  ;2.129.672  ;461.936  
2014;     Octubre  ;;8.439.633  ;5.424.437  ;2.474.854  ;540.342  
2014;     Noviembre  ;;6.809.770  ;4.709.749  ;1.703.041  ;396.980  
2014;     Diciembre  ;;5.329.874  ;3.162.163  ;1.822.285  ;345.426  
2015;     Enero  ;;10.771.225  ;7.631.064  ;2.608.985  ;531.176  
2015;     Febrero  ;;6.953.420  ;5.088.163  ;1.573.722  ;291.535  
2015;     Marzo  ;;7.096.442  ;4.770.352  ;1.941.645  ;384.445  
2015;     Abril  ;;8.350.619  ;5.853.733  ;2.104.951  ;391.935  
2015;     Mayo  ;;7.289.502  ;4.844.555  ;2.019.090  ;425.857  
2015;     Junio  ;;7.716.490  ;5.122.348  ;2.190.614  ;403.528  
2015;     Julio  ;;9.180.677  ;5.811.595  ;2.712.772  ;656.310  
2015;     Agosto  ;;7.921.470  ;4.891.993  ;2.417.265  ;612.212  
2015;     Septiembre  ;;6.719.226  ;4.420.810  ;1.826.717  ;471.699  
2015;     Octubre  ;;8.063.147  ;5.102.813  ;2.386.355  ;573.979  
2015;     Noviembre  ;;7.844.740  ;5.049.222  ;2.289.261  ;506.257  
2015;     Diciembre  ;;5.344.976  ;3.214.156  ;1.773.778  ;357.042  
2016;     Enero  ;;10.744.622  ;7.613.651  ;2.610.473  ;520.498  
2016;     Febrero  ;;7.691.945  ;5.234.115  ;1.977.521  ;480.309  
2016;     Marzo  ;;7.665.680  ;5.402.118  ;1.848.012  ;415.550  
2016;     Abril  ;;8.085.011  ;5.223.891  ;2.376.988  ;484.132  
2016;     Mayo  ;;7.896.215  ;5.486.061  ;1.980.532  ;429.622  
2016;     Junio  ;;8.289.618  ;5.140.700  ;2.656.274  ;492.644  
2016;     Julio  ;;8.025.314  ;5.627.786  ;1.896.415  ;501.113  
2016;     Agosto  ;;8.769.359  ;5.204.388  ;2.992.594  ;572.377  
2016;     Septiembre  ;;7.356.871  ;4.879.311  ;1.910.016  ;567.544  
2016;     Octubre  ;;8.000.488  ;4.882.882  ;2.469.540  ;648.066  
2016;     Noviembre  ;;8.279.002  ;5.514.319  ;2.259.639  ;505.044  
2016;     Diciembre  ;;4.601.398  ;2.931.496  ;1.413.394  ;256.508  
2017;     Enero  ;;11.042.936  ;7.796.812  ;2.713.172  ;532.952  
2017;     Febrero  ;;7.014.517  ;4.835.549  ;1.859.245  ;319.723  
2017;     Marzo  ;;8.297.973  ;5.748.565  ;2.111.523  ;437.885  
2017;     Abril  ;;7.208.921  ;4.810.711  ;2.021.426  ;376.784  
2017;     Mayo  ;;8.511.958  ;5.720.638  ;2.338.251  ;453.069  
2017;     Junio  ;;8.797.715  ;5.464.052  ;2.736.678  ;596.985  
2017;     Julio  ;;7.997.484  ;5.557.023  ;1.977.743  ;462.718  
2017;     Agosto  ;;8.895.459  ;5.384.301  ;2.847.825  ;663.333  
